"","housenumber","street","city","state","zip","country"
"52","House Number Not Found","Street Not Found","Badausa","Uttar Pradesh","210202","India"
"53","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"54","House Number Not Found","Street Not Found","Athens","Alabama","35611","United States of America"
"55","House Number Not Found","Street Not Found","Tushka","Oklahoma","74525","United States of America"
"56","House Number Not Found","Street Not Found","Les Pilles","Auvergne-Rhône-Alpes","26110","France"
"57","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"58","House Number Not Found","Street Not Found","Massegros Causses Gorges","Occitania","48500","France"
"59","House Number Not Found","Street Not Found","Montréjeau","Occitania","31210","France"
"60","House Number Not Found","Street Not Found","Avanhandava","São Paulo","Postcode Not Found","Brazil"
"61","45","Stroga","Brda","State Not Found","5121","Slovenia"
"62","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"63","House Number Not Found","Street Not Found","City Not Found","Pader","Postcode Not Found","Uganda"
"64","2000","Pepsi Way","Aztec","New Mexico","87410","United States of America"
"65","House Number Not Found","Street Not Found","City Not Found","Donetsk Oblast","84500-84510","Ukraine"
"66","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"67","House Number Not Found","Street Not Found","Bald Mountain","North Carolina","Postcode Not Found","United States of America"
"68","House Number Not Found","Street Not Found","City Not Found","Mississippi","38824","United States of America"
"69","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"70","House Number Not Found","Street Not Found","Ban Rong Kok","Phetchabun Province","Postcode Not Found","Thailand"
"71","House Number Not Found","Jalan Industri Dalam","Arjuna","West Java","40172","Indonesia"
"72","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"73","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"74","House Number Not Found","Street Not Found","City Not Found","Banten","Postcode Not Found","Indonesia"
"75","House Number Not Found","Street Not Found","Cazaubon","Occitania","32150","France"
"76","House Number Not Found","Street Not Found","Barcelona","Catalonia","08001","Spain"
"77","House Number Not Found","Street Not Found","Entrena","Rioja","26120","Spain"
"78","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"79","51","Freiligrathstraße","Barntrup","North Rhine-Westphalia","32683","Germany"
"80","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"81","House Number Not Found","Street Not Found","Hinckley and Bosworth","England","LE9 7HY","United Kingdom"
"82","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"83","House Number Not Found","Street Not Found","Glosków","Masovian Voivodeship","05-503","Poland"
"84","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"85","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"86","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"87","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"88","House Number Not Found","Street Not Found","Cape Fair","Missouri","65624","United States of America"
"89","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"90","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"91","House Number Not Found","Street Not Found","Beddgelert","Wales","LL55 4UY","United Kingdom"
"92","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"93","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"94","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"95","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"96","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"97","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"98","House Number Not Found","Heald Street","Daveyton","Gauteng","1520","South Africa"
"99","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"100","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"101","House Number Not Found","Street Not Found","City Not Found","Entre Ríos","Postcode Not Found","Argentina"
"102","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"103","House Number Not Found","Street Not Found","Gumiel de Mercado","Castile and León","09443","Spain"
"104","House Number Not Found","Street Not Found","Berthoud","Colorado","Postcode Not Found","United States of America"
"105","House Number Not Found","Street Not Found","Bethlehem Heights","New York","12158","United States of America"
"106","House Number Not Found","Street Not Found","Beuste","New Aquitaine","64800","France"
"107","House Number Not Found","Street Not Found","Park","State Not Found","2052 6703","Lebanon"
"108","House Number Not Found","Street Not Found","Fagne","Maharashtra","424004","India"
"109","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"110","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"111","House Number Not Found","Gazipur Road","Bhola","Barisal Division","Postcode Not Found","Bangladesh"
"112","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"113","26H","Dojlidy Fabryczne","Bialystok","Podlaskie Voivodeship","15-565","Poland"
"114","House Number Not Found","Street Not Found","City Not Found","Khmelnytskyi Oblast","30430","Ukraine"
"115","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"116","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"117","House Number Not Found","Street Not Found","City Not Found","Sokoto","Postcode Not Found","Nigeria"
"118","House Number Not Found","Street Not Found","Spur","South Carolina","29010","United States of America"
"119","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"120","34","Molodizhna Street","Bila Tserkva","Kyiv Oblast","09100-09117","Ukraine"
"121","52","Punasuontie","Porvoo","Southern Finland","Postcode Not Found","Finland"
"122","House Number Not Found","Street Not Found","Rush township","Pennsylvania","16677","United States of America"
"123","House Number Not Found","Street Not Found","City Not Found","Oklahoma","Postcode Not Found","United States of America"
"124","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"125","House Number Not Found","Seifertova","Blansko","Southeast","67801","Czech Republic"
"126","House Number Not Found","Street Not Found","Bloomington","Illinois","61701","United States of America"
"127","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"128","House Number Not Found","Street Not Found","City Not Found","San Luis Potosi","Postcode Not Found","Mexico"
"129","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"130","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"131","House Number Not Found","Street Not Found","Fidenza","Emilia-Romagna","43036","Italy"
"132","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"133","House Number Not Found","Street Not Found","<U+0421><U+0442><U+0430><U+0440><U+043E><U+0431><U+043E><U+0440><U+0438><U+0441><U+043A><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043E><U+0432><U+0435><U+0442>","Orenburg Oblast","Postcode Not Found","Russia"
"134","House Number Not Found","Street Not Found","Kvasy","Zakarpattia Oblast","90640","Ukraine"
"135","House Number Not Found","<U+041C><U+0438><U+043D><U+0441><U+043A><U+043E><U+0435> <U+0448><U+043E><U+0441><U+0441><U+0435>","<U+0411><U+043E><U+043B><U+043E><U+0442><U+043E> <U+0421><U+0442><U+0430><U+0440><U+043E><U+0435>","Moscow Oblast","143231","Russia"
"136","16","<U+0406><U+043E><U+0430><U+043D><U+043D><U+0430> <U+041F><U+0443><U+0442><U+0438><U+0432><U+043B><U+044C><U+0441><U+044C><U+043A><U+043E><U+0433><U+043E> <U+043F><U+0440><U+043E><U+0441><U+043F><U+0435><U+043A><U+0442>","Putyvl","Sumy Oblast","41500","Ukraine"
"137","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"138","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"139","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"140","House Number Not Found","Florence Avenue","Avalon","Pennsylvania","15202","United States of America"
"141","117","Street Not Found","Hejtmánkovice","Northeast","55001","Czech Republic"
"142","House Number Not Found","Street Not Found","Breitscheid","Hesse","35767","Germany"
"143","House Number Not Found","Street Not Found","Sandbostel","Lower Saxony","27446","Germany"
"144","House Number Not Found","Street Not Found","<U+0411><U+0440><U+0438><U+0435><U+043D><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043E><U+0432><U+0435><U+0442>","Orenburg Oblast","Postcode Not Found","Russia"
"145","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"146","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"147","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"148","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"149","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"150","House Number Not Found","Street Not Found","Hardy","Kentucky","41531","United States of America"
"151","House Number Not Found","Toki Caddesi","Kestel Mahallesi","Bursa","16300","Turkey"
"152","House Number Not Found","Street Not Found","Gârciu","Harghita","537299","Romania"
"153","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"154","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"155","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"156","House Number Not Found","Street Not Found","Murcia","Region of Murcia","30167","Spain"
"157","House Number Not Found","Street Not Found","Woodland","Arkansas","72830","United States of America"
"158","House Number Not Found","Street Not Found","Cacak","Central Serbia","32000","Serbia"
"159","House Number Not Found","Street Not Found","Perímetro Urbano Santiago de Cali","Valle del Cauca","760020","Colombia"
"160","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"161","House Number Not Found","Street Not Found","Salitre","Ceará","Postcode Not Found","Brazil"
"162","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"163","House Number Not Found","Street Not Found","Castellet i la Gornal","Catalonia","088800","Spain"
"164","House Number Not Found","Street Not Found","Cangas de Onís","Asturias","33550","Spain"
"165","House Number Not Found","Street Not Found","Cañon City","Colorado","81212","United States of America"
"166","House Number Not Found","Street Not Found","Cape Girardeau","Missouri","63701","United States of America"
"167","House Number Not Found","Street Not Found","Capilla del Monte","Córdoba","X5166","Argentina"
"168","House Number Not Found","Street Not Found","Desaguadero","Puno","Postcode Not Found","Peru"
"169","House Number Not Found","Street Not Found","Kakliç","Izmir","Postcode Not Found","Turkey"
"170","House Number Not Found","Street Not Found","Castalia","North Carolina","27816","United States of America"
"171","House Number Not Found","Street Not Found","Castelnuovo Berardenga","Tuscany","53019","Italy"
"172","House Number Not Found","Street Not Found","West Brooksville","Maine","04617","United States of America"
"173","House Number Not Found","Via Giudeca","Castrovillari","Calabria","87012","Italy"
"174","House Number Not Found","Street Not Found","Estelle","North Carolina","27305","United States of America"
"175","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"176","House Number Not Found","Street Not Found","City Not Found","South Dakota","Postcode Not Found","United States of America"
"177","House Number Not Found","Street Not Found","Serralunga di Crea","Piemont","15020","Italy"
"178","House Number Not Found","Street Not Found","Gaohe","Hunan","416200","China"
"179","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"180","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"181","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"182","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"183","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"184","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"185","House Number Not Found","Street Not Found","Pouligny-Saint-Pierre","Centre-Loire Valley","36300","France"
"186","House Number Not Found","Street Not Found","Charlotte","Tennessee","37187","United States of America"
"187","House Number Not Found","Street Not Found","Charsonville","Centre-Loire Valley","41240","France"
"188","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"189","House Number Not Found","Street Not Found","Chassigny","Grand Est","52190","France"
"190","House Number Not Found","Street Not Found","Château-Renard","Centre-Loire Valley","45220","France"
"191","House Number Not Found","Street Not Found","Verín","Galicia","32619","Spain"
"192","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"193","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"194","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"195","House Number Not Found","Street Not Found","<U+0417><U+0430><U+0432><U+043E><U+0434><U+0441><U+043A><U+043E><U+0441><U+043B><U+043E><U+0431><U+043E><U+0434><U+0441><U+043A><U+0438><U+0439> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+0421><U+043E><U+0432><U+0435><U+0442>","Mahilyow Region","Postcode Not Found","Belarus"
"196","720","Mount Pleasant Road","Lakeview Manor","South Carolina","29307","United States of America"
"197","1a","Route du Battoir","Oron","Vaud","1607","Switzerland"
"198","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"199","House Number Not Found","Street Not Found","City Not Found","Karnataka","Postcode Not Found","India"
"200","House Number Not Found","Street Not Found","Chiang Khan","Loei Province","42110","Thailand"
"201","House Number Not Found","Street Not Found","Donegal Township","Pennsylvania","16025","United States of America"
"202","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"203","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"204","3","Rue du Vieux Joué","Montreuil-en-Touraine","Centre-Loire Valley","37530","France"
"205","House Number Not Found","Street Not Found","Cikareo Utara","West Java","Postcode Not Found","Indonesia"
"206","House Number Not Found","Street Not Found","Camp Olvier","Georgia","30429","United States of America"
"207","House Number Not Found","Street Not Found","City Not Found","Wisconsin","54421","United States of America"
"208","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"209","House Number Not Found","Street Not Found","Alamando","Michigan","48618","United States of America"
"210","House Number Not Found","Street Not Found","Terni","Umbria","05100","Italy"
"211","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"212","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"213","House Number Not Found","Street Not Found","City Not Found","Kerala","Postcode Not Found","India"
"214","House Number Not Found","Street Not Found","Crescent","Oklahoma","73028","United States of America"
"215","House Number Not Found","Street Not Found","Moqhaka Local Municipality","Free State","1499","South Africa"
"216","House Number Not Found","Street Not Found","Beulahtown","North Carolina","27542","United States of America"
"217","House Number Not Found","Riverside Walk","Crumlin","Northern Ireland","BT29 4BW","United Kingdom"
"218","House Number Not Found","Street Not Found","City Not Found","Kentucky","40701","United States of America"
"219","House Number Not Found","Street Not Found","Belmont","Kentucky","41031","United States of America"
"220","House Number Not Found","Street Not Found","City Not Found","Kasserine","1280","Tunisia"
"221","House Number Not Found","Street Not Found","City Not Found","Uttar Pradesh","274304","India"
"222","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"223","House Number Not Found","Street Not Found","Danville","Alabama","35619","United States of America"
"224","8","Schöfferstraße","Darmstadt","Hesse","64295","Germany"
"225","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"226","House Number Not Found","Street Not Found","Daule","Guayas","091902","Ecuador"
"227","400","3rd Line","City Not Found","Ontario","Postcode Not Found","Canada"
"228","House Number Not Found","Brighton Avenue","Deal","New Jersey","07723","United States of America"
"229","House Number Not Found","Veer Savarkar Marg","City Not Found","Delhi","110024","India"
"230","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"231","House Number Not Found","Street Not Found","Denver","Colorado","80207","United States of America"
"232","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"233","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"234","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"235","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"236","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"237","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"238","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"239","House Number Not Found","Street Not Found","Yesilkent","Aydin","09270","Turkey"
"240","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"241","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"242","House Number Not Found","Street Not Found","City Not Found","East Java","Postcode Not Found","Indonesia"
"243","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"244","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"245","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"246","2","Poshtova Street","Lutsk","Volyn Oblast","43001","Ukraine"
"247","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"248","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"249","House Number Not Found","Street Not Found","City Not Found","Chhattisgarh","495554","India"
"250","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"251","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"252","House Number Not Found","Street Not Found","Dosso","Dosso","Postcode Not Found","Niger"
"253","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"254","House Number Not Found","Street Not Found","Dowa","Dowa","Postcode Not Found","Malawi"
"255","House Number Not Found","Street Not Found","Gallatin","Tennessee","37066","United States of America"
"256","House Number Not Found","Street Not Found","Oungah","Ontario","N0P 1L0","Canada"
"257","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Croatia"
"258","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"259","House Number Not Found","Street Not Found","The Municipal District of Cahir — Cashel","State Not Found","Postcode Not Found","Ireland"
"260","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"261","House Number Not Found","Street Not Found","City Not Found","Punjab","Postcode Not Found","India"
"262","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"263","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"264","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"265","House Number Not Found","Street Not Found","City Not Found","Uttar Pradesh","Postcode Not Found","India"
"266","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"267","House Number Not Found","Street Not Found","City Not Found","Nebraska","68520","United States of America"
"268","House Number Not Found","Street Not Found","Namacunde","Cunene","Postcode Not Found","Angola"
"269","5","Dr.-Hans-Hutter-Straße","Eichstätt","Bavaria","85072","Germany"
"270","House Number Not Found","Street Not Found","Vilhelmsfält","Skåne County","260 51","Sweden"
"271","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"272","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"273","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"274","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"275","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"276","House Number Not Found","Street Not Found","Staré Sedlo","Northwest","35734","Czech Republic"
"277","House Number Not Found","Street Not Found","<U+041E><U+043B><U+0435><U+043D><U+0456><U+0432><U+0441><U+044C><U+043A><U+0430> <U+0441><U+0435><U+043B><U+0438><U+0449><U+043D><U+0430> <U+0440><U+0430><U+0434><U+0430>","Donetsk Oblast","85710","Ukraine"
"278","House Number Not Found","Street Not Found","Schouwen-Duiveland","Zeeland","Postcode Not Found","The Netherlands"
"279","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"280","House Number Not Found","Street Not Found","Wuyangba Subdistrict","Hubei","445017","China"
"281","House Number Not Found","Street Not Found","Ensisheim","Grand Est","68190","France"
"282","House Number Not Found","Avenue Robert Schuman","Épinal","Grand Est","88000","France"
"283","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"284","House Number Not Found","Street Not Found","City Not Found","Kotayk Province","2401","Armenia"
"285","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"286","House Number Not Found","Breite Straße","Erxleben","Saxony-Anhalt","39343","Germany"
"287","House Number Not Found","Street Not Found","Esnandes","New Aquitaine","17137","France"
"288","House Number Not Found","Street Not Found","Aru","Ituri","Postcode Not Found","Democratic Republic of the Congo"
"289","House Number Not Found","Street Not Found","Estherville","Iowa","51334","United States of America"
"290","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"291","6770","Dickinson Avenue","Ballards Crossroad","North Carolina","27828","United States of America"
"292","House Number Not Found","Street Not Found","Laissac-Sévérac l'Église","Occitania","12310","France"
"293","House Number Not Found","Street Not Found","Fayetteville","Arkansas","72701","United States of America"
"294","House Number Not Found","Street Not Found","El Kala","El Tarf","36002","Algeria"
"295","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"296","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"297","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"298","House Number Not Found","Street Not Found","Fermo","Marche","63017","Italy"
"299","House Number Not Found","Street Not Found","City Not Found","Minnesota","56723","United States of America"
"300","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"301","House Number Not Found","Street Not Found","Forest City","Iowa","50436","United States of America"
"302","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
